spkid,targetname,datetime_jd,e,a,incl,q,M,pha,H,diameter,albedo,moid
20004179,4179 Toutatis (1989 AC),2459970.5,0.6245894481698475,2.544490870043274,0.4482739608086202,0.9552287216497306,186.7175504652324,Y,15.29,5.4,0.405,0.00651
20004179,4179 Toutatis (1989 AC),2460000.5,0.6246089836786733,2.544454440699399,0.4482607140382635,0.95516533847746,193.9976015565619,Y,15.29,5.4,0.405,0.00651
20004179,4179 Toutatis (1989 AC),2460030.5,0.6246243840113799,2.544420339330168,0.4482474435570292,0.9551133522100356,201.2778094473798,Y,15.29,5.4,0.405,0.00651
20004179,4179 Toutatis (1989 AC),2460060.5,0.6246348502497587,2.544391996426377,0.4482424760039761,0.9550760827619024,208.558914594696,Y,15.29,5.4,0.405,0.00651
20004179,4179 Toutatis (1989 AC),2460090.5,0.6246480743498207,2.54435882397473,0.4482342367978879,0.9550299841239408,215.8410446602586,Y,15.29,5.4,0.405,0.00651
20004179,4179 Toutatis (1989 AC),2460120.5,0.6246660293087852,2.544314874050421,0.4482202465307811,0.9549678043660628,223.1233298431132,Y,15.29,5.4,0.405,0.00651
20004179,4179 Toutatis (1989 AC),2460150.5,0.6246857748243072,2.54426288771938,0.4482062474418996,0.9548980543476696,230.4055011637605,Y,15.29,5.4,0.405,0.00651
20004179,4179 Toutatis (1989 AC),2460180.5,0.6247081030571952,2.544197551896176,0.4481801686751961,0.954816725448356,237.6871625338581,Y,15.29,5.4,0.405,0.00651
20004179,4179 Toutatis (1989 AC),2460210.5,0.6247279963012287,2.544121893637743,0.448151389938388,0.9547377206793484,244.9679835816903,Y,15.29,5.4,0.405,0.00651
20004179,4179 Toutatis (1989 AC),2460240.5,0.624739907450546,2.54405005682951,0.4481363924140937,0.9546804597762856,252.2488817142876,Y,15.29,5.4,0.405,0.00651
20004179,4179 Toutatis (1989 AC),2460270.5,0.6247466226891575,2.543982864929395,0.4481232597045851,0.9546381618856684,259.5304775860274,Y,15.29,5.4,0.405,0.00651
20004179,4179 Toutatis (1989 AC),2460300.5,0.6247494044946262,2.543920813492979,0.4481159169125584,0.9546078001817556,266.8129310419832,Y,15.29,5.4,0.405,0.00651
20004179,4179 Toutatis (1989 AC),2460330.5,0.6247498883935634,2.543869714034348,0.448115762553053,0.9545873941036228,274.0967448959407,Y,15.29,5.4,0.405,0.00651
20004179,4179 Toutatis (1989 AC),2460360.5,0.6247530963104395,2.543816710830733,0.4480990835401267,0.9545593442929948,281.3814192416065,Y,15.29,5.4,0.405,0.00651
20004179,4179 Toutatis (1989 AC),2460390.5,0.6247577921648093,2.543751126114824,0.4480739606139795,0.9545227887465793,288.6661882522965,Y,15.29,5.4,0.405,0.00651
20004179,4179 Toutatis (1989 AC),2460420.5,0.6247611249098958,2.543679749190694,0.4480541709987608,0.9544875276757948,295.9512835634882,Y,15.29,5.4,0.405,0.00651
20004179,4179 Toutatis (1989 AC),2460450.5,0.6247633107044473,2.543598128008093,0.4480299868799253,0.954451340452122,303.2366403157451,Y,15.29,5.4,0.405,0.00651
20004179,4179 Toutatis (1989 AC),2460480.5,0.6247624872931162,2.543508741079171,0.4480193909818411,0.9544198935507654,310.5223838862913,Y,15.29,5.4,0.405,0.00651
20004179,4179 Toutatis (1989 AC),2460510.5,0.624759520915081,2.543435703902215,0.4480261183080672,0.9544000320539552,317.8093534755242,Y,15.29,5.4,0.405,0.00651
20004179,4179 Toutatis (1989 AC),2460540.5,0.624757537854299,2.543379326922338,0.4480292894134458,0.954383920804814,325.0974372168524,Y,15.29,5.4,0.405,0.00651
20004179,4179 Toutatis (1989 AC),2460570.5,0.6247562517896019,2.543328751587865,0.4480317265375983,0.9543682136771028,332.3861504438923,Y,15.29,5.4,0.405,0.00651
20004179,4179 Toutatis (1989 AC),2460600.5,0.6247568943623146,2.543298281565968,0.4480325287576762,0.9543551457378024,339.6755825691425,Y,15.29,5.4,0.405,0.00651
20004179,4179 Toutatis (1989 AC),2460630.5,0.6247618892803796,2.543299287117468,0.4480352495385396,0.9543428194925166,346.9655132307394,Y,15.29,5.4,0.405,0.00651
20004179,4179 Toutatis (1989 AC),2460660.5,0.6247790640721158,2.543394035989787,0.4480563423923524,0.9543346906174868,354.2557559899572,Y,15.29,5.4,0.405,0.00651
20004179,4179 Toutatis (1989 AC),2460690.5,0.6248077954896046,2.543585242464514,0.4480600296178691,0.9543333544803704,1.54509264462102,Y,15.29,5.4,0.405,0.00651
20004179,4179 Toutatis (1989 AC),2460720.5,0.6248219952779273,2.543680932096521,0.4480632103641571,0.9543331367535558,8.833330382183844,Y,15.29,5.4,0.405,0.00651
20004179,4179 Toutatis (1989 AC),2460750.5,0.6248156960724998,2.543615982154446,0.4480594357664975,0.9543247917234812,16.12257425424877,Y,15.29,5.4,0.405,0.00651
